Neighborhood,Acre,Back Central,Centralville,Downtown,Lower Belvidere,Lower Highlands,Pawtucketville,South Lowell,Upper Belvidere,Upper Highlands
Under 5 years,877,339,1275,388,189,476,937,1038,494,1697
5 to 9 years,775,303,1127,180,147,456,760,794,394,1282
10 to 14 years,958,223,851,227,154,364,506,811,353,1397
15 to 17 years,669,293,429,60,90,211,427,644,480,899
18 to 24 years,3017,511,1855,614,293,680,1853,897,743,2857
25 to 54 years,4924,2435,6924,2298,1047,2753,6710,6286,3162,10371
55 to 74 years,1439,867,2516,780,302,844,2462,2054,1756,3923
75 and over years,531,271,947,226,152,190,1135,461,675,1004
